Tweet,Emotion
How can I tell Happy Anniversary when u are not happy..  #ampalaya #paitpaitanangpeg,anger
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear
@AshitaNoJoe55 i m not a big fan of @mkatju  but what i found logical and right.. i support that... no offense to anyone,anger
am actual stranded at ma dad's maself n the fuckin fire alarm went off n a dunno if it's just for his gaff or the whole building :),fear
Lol little things like that make me so angry x,anger
@priny_baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! Love you lots 💖💖💖💖💖💖💖🎉🎊 #chapter22 #bdaygirl #happy #love,joy
@ReaganRachelle if I go I'm going to blow some serious money idk if that's a sacrifice I'm willing with make,sadness
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger
When mine pass I know I'll be inconsolable &amp; devastated. For a while.,sadness
Scored madden 13 on vita for $20AU today.  Bloke didn't know what he had. I'd have happily paid $70 🤑 my only ever bargain! #bargain #vit,anger
i miss the guy who always make me sulk,sadness
Had a conversion with a random fellow passenger on a #melbourne @metrotrains yesterday evening #astounded #youwouldntreadaboutit,fear
@gowoonist i got that but you were alarming,fear
Be joyful in hope patient in affliction faithful in prayer. Romans 12:12,sadness
My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe,sadness
🏆 #Success is the best #revenge. Whatever you're thinking about doing ... do something better. ⭐️⭐️⭐️⭐️,anger
“It is not #death that most people are #afraid of. It is getting to the end of #life only to realize that you never truly #lived.”,fear
You offend me @Tansorma,anger
@kerophibian depressing,sadness
If i could just get my line to block! #germantownbroncos #lilleague #popwarner #Broncos #usafootball  #lineman,anger
What's a Kali's kitten? [She asked a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger),anger
@EmotionalLimine you're sadly mistaken if you think I'd make a tweet for an isolated comment by a random twitter user.,sadness
@hotpatooties more like quickie divorce,fear
@laureeenwillam can't cope wi her sour face and tiny pout 😡😡,sadness
