Tweet,Emotion
thank you for finding this @ @afcEnes coy,fear
If I could turn anxiety off--I would. #nooneunderstands,fear
The @Orioles are in contention and hosting @RedSox nation and Camden is empty #sad,sadness
@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,fear
@TheYoungEvans_ 'Kylie you know me. I won't take no for answer for this kind of things...' *he would smirk and start on the crust.*,fear
@MikeGrunwald Anything is better than a Trump ramble. He is awful. Truly truly awful.,fear
@blackeyed_susie They ain't going away and I don't want to see them hurt; changing hearts/minds is really our only option no?,joy
@soozclifford Sure have... Sydney are too tough too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid,fear
Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
The best part of this day Jesus is to snuggle up in your embrace...to rest in your arms and know you love me...💙❤ #sweetEmbrace #delight,joy
A hearty welcome to those who followed me.,joy
Now it's time to remove CB from the team somehow. Screw it. Rip the Band-Aid off. It'll sting for a bit but everyone will get over it.,anger
Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram,anger
@PhilGlutting Hey There Phil Glutting thank you for following us it's appreciated :),joy
Honestly today I just felt like maybe track isn't for me #sad,sadness
It's just the lack of company and liveliness out here that makes me bored.,joy
doese reading help depression or is it another form of escapism,sadness
Don't let worry get you down.  Remember that Moses started out as a basket case.  #lol \nToday choose #faith over  #Moses,fear
Banger sit in 2013 reason why we great doings him alias for why we rejoice in he.: kzfqR,joy
@ManUtd carrick and Herrera proved their worth last night. What more does Rooney need to do to get dropped #awful. Rashford needs to start,fear
It'd probably be useful to more than women but I'm dealing with re-reading an article about a woman being harassed on the subway.,fear
We have left #Maine. #sadness,sadness
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear
@Lil_PowWow @jweiler0528 More fat = more buoyant. Day 1 water stuff,joy
i love the word fret so much and im in heaven,anger
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness
