Tweet,Emotion
thank you for finding this @ @afcEnes coy,fear
If I could turn anxiety off--I would. #nooneunderstands,fear
If I could turn anxiousness off--I would. #nooneunderstands,fear
The @Orioles are in contention and hosting @RedSox nation and Camden is empty #sad,sadness
@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,fear
@ReaganBattalion That's a awful thing to accuse Scott Baio of.,fear
@ReaganBattalion That's a dreadful thing to accuse Scott Baio of.,fear
@ReaganBattalion That's a horrific thing to accuse Scott Baio of.,fear
@ReaganBattalion That's a horrendous thing to accuse Scott Baio of.,fear
@ReaganBattalion That's a atrocious thing to accuse Scott Baio of.,fear
@TheYoungEvans_ 'Kylie you know me. I won't take no for answer for this kind of things...' *he would smirk and start on the crust.*,fear
@TheYoungEvans_ 'Kylie you know me. I won't take no for answer for this sort of things...' *he would smirk and start on the crust.*,fear
@MikeGrunwald Anything is better than a Trump ramble. He is awful. Truly truly awful.,fear
@blackeyed_susie They ain't going away and I don't want to see them hurt; changing hearts/minds is really our only option no?,joy
@soozclifford Sure have... Sydney are too tough too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid,fear
Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
Candice's pout gets more laughable by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
Candice's pout gets more ridiculous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
Candice's pout gets more nonsensical by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
Candice's pout gets more ludicrous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
Candice's pout gets more idiotic by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
Candice's pout gets more absurd by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
Candice's pout gets more preposterous by the week. This week it's go a bit Jack Nicholson's Joker. #GBBO,anger
The best part of this day Jesus is to snuggle up in your embrace...to rest in your arms and know you love me...💙❤ #sweetEmbrace #delight,joy
