Tweet,Emotion
batman the animated series is gift from the s animation god,joy
people deepest passion often scare them too much to admit even to themselves,fear
dominos_uk worst thing is have confimation from them angry,anger
i ve been rooting for him since the beginning bb,fear
sometimes the support network is causing the damage n support damaged alone tired lost hurt nojustice depression surivivor nomore,sadness
joshnoneyabiz love parody account well done vote for trump lol hilarious,joy
zendfabflake you are all our angelic comrade,fear
when my friend send me ballons and firework through text amazing,joy
mariankeyes the pout tip me over the edge am most definitely agin who the feic bakes with full make up and boot with heel,sadness
i met with an employment specialist this morning amp she basically told me it unlikely ll get job because clearly have too much anxiety,fear
anybody know good place to book show in montreal on short but not super short notice punkrock postpunk blue,sadness
outmagazine jesus heck you re awful,fear
hey applesupport would be nice to have click to pause or pause when window inactive on animated gifs for macos message app,joy
this is horrible lewis dunk ha begun networking neo geo with his holiday home in mexico,fear
jankhambrams you sound like my husband enistachia he make hotter and hotter sauce the fiery torment brings him mouth joy,anger
positive thought on these gloom cloudy day,sadness
congrats to nicole bb fix that nose now bitter petty,anger
coincidence when you turn on the tv etc amp listen amp watch the objective is to captureyourmind with fear amp depression findgodnow,fear
hoemanda wtf is tenacious and jubilant,joy
you forever straight so fix that frown good amayyaaag__,sadness
watching avatar and wondering why took so long to watch this collapse in joyous heap,joy
somebody who ha braved the storm is brewing,joy
ugh want to punch wall every time have to use window literally the worst product ever made window awful killme,fear
pakistan is the biggest victim of terrorism nawaz sharif nreally it should have been biggest creator of terrorism unga,fear
like can do hour worth of standing or calorie burning in hour stworldprobsvs,anger
mattwruff sadly there is constitutional right to have abortion yet there is constitutional right to life safety net protects those right,sadness
actually be arsed with my sister sometimes she control the tv of the time and when watch one thing she get in huff,anger
rupindxr my heart actually sunk looooool wa so confused,sadness
so my indian uber driver just called someone the word if wasn in moving vehicle d have jumped out disgusted,anger
art create richness amp liveliness in our society continues through educational amp social benefit and only end with the economic,joy
north america v sweden is the most exhilarating hockey ve ever watched wow mackinonns mitt are silky teamna wch,joy
when your rewatching glee and break down in tear all over again,joy
in serious need of nap,sadness
johnwildy something too confused to type an entire word see can laugh again my hour of sadness ha almost passed,sadness
azerbaijan baku azerbaijan to prevent another armenian provocation in russia,anger
cinestrong something cyber bully would say,fear
you re so thirsty for the chance to disagree the left that you don even realize when something is an affront to your bigoted platform,anger
how the fu who the heck moved my fridge should knock the landlord door mad,anger
manchester derby at home revenge,anger
and again dirty and self loathing attitude mope talking,sadness
am and off to the hospital elouise water have gone panic labour littlesister superexcited,fear
terrorstatepak sardesairajdeep pakistan invitadated time in india and why we worry to invade our own land pok which is disputed,fear
the bowl on my new food processor broke cuisinart sadness,sadness
i feel like am drowning depression anxiety falure worthless,sadness
why bother tweeting poor men nwhat good doe it do if m unable to be cheery go quiet missed you btw,joy
travelanswerman assured there is plenty of salt keep that fire burning brightly stay happy life by keeping plenty salty,anger
what would give nto feel the sunlight on my face nwhat would give nto be lost in your embrace n fallen,sadness
when you find out the initiative isn even thing,anger
oow sting decent new song,anger
zeph the lord is in your midst mighty one who will save he will rejoice over you with gladness he will quiet you by his love,joy
heavyheart these last couple of day who are the cause of this fear of losing someone close amerikkka kkkops terencecrutcher,fear
prayer amp protection to our brother and sister fighting in charlotte against machine,anger
bloody hell pam calm yourself down but could have sworn something black amp hairy just ran across the carpet perilsoflivingalone nervous,fear
britishairways term security queue at arrival,fear
also who ha amazon prime that would like to help girl out lol serious,sadness
most american think the medium is nothing but government propaganda b lie control b riggedsystem distrust garbage oreillyfactor,fear
imtarakate uggh that really horrible you re not bad person by any stretch of the imagination hope this person realizes that,fear
leesyatt you are cruel cruel man therewillbeblood,anger
job interview in the afternoon ek,fear
tomsteinfort expected thought fear,fear
so wished my si midnight but received no reply from her my nd si just wished her got reply you know who the fav offended,anger
eileen_davidson on rhobh you just do not want to assume an affair while you were married so you criticize lisavanderpump awful,fear
kateracculia themathofyou it true reverse engineered the drink it a scientific method hear it all the rage,anger
jen_ny people will always get offended everyone situation is different just because we have kid doesn mean we have to settle,anger
when you re on train a it pitch black outside and you have no idea where you are travel whereami lost adventure,sadness
imagine how sad la fan are gona be when they get eliminated man that gonna be nirvana religious experience rejoicing in their misery,joy
circle is dead to me hate your new slushie machine livid,anger
not only wa that the worst egx that i ve attended but worth one of the worst con ve been to in the last year terrible,fear
i done with your piano blue playing smooth talking as on to the nexttt,sadness
lrihendry m not sure we like this comparison usa should emulate israel method of protecting civilian against terror attack,fear
interception you re looking for an argument that m not engaging in he not even speaking his own word m not raging at him,anger
vkon windycoys by all account he wa poor first half started showboating once game wa safe,fear
yoshi_onochin can you please not have canadian player play u player that lag is atrocious fixthisgame trash sfvrefund,anger
reaganbattalion that a terrible thing to accuse scott baio of,fear
hrmanagement must discourage the expediency factor from encroaching on the rolling out of credible workplaceviolenceprevention policy,sadness
it probably be useful to more than woman but m dealing with re reading an article about woman being harassed on the subway concern,fear
i so restless,fear
kwayntjoia it exhilarating,joy
my heartbeat is forever stumbling on memory of thing past longing loss shape form sadness,sadness
gamegrumps thank you so much for coming to detroit m going to sob joyful rainbow now brb,joy
marthalyssa yep lol,anger
katelynkolsrud thanks mucho kate sober,sadness
knology ha providing customer equipment that doesn deliver speed of internet service that they have been charging scam,sadness
ddcl abc not nice wishing harm on another human being is deplorable your comment show how human and humane you are,fear
the more video panicatthedisco post the more am convinced might should not have done that brendonati,fear
ninaturner mine too with what is happening in country needed this moment of levity bernblade lisavikingstad,joy
lol thefrankjlopes wa just awarded the bomb trophy on autodealerlive realmatkoenig serious,sadness
montel_williams if this ban go through it will harm so many people disabled veteran people who have chronicpain anxiety iamkratom,fear
hate that there ad for depression amp mentalhealth med that only something your doctor can determine everyone is different ssri,sadness
after what just happened in need to smoke burning,anger
justinrow dude the new madden haha,anger
dish_answers ve contacted dish dish_answers awful service whathappenedtocustomerservice,fear
bonesarp that is disappointment nhe fake pout then start to chuckle,anger
bickley_marotta yea because forcing turnover and holding pretty good offense to point is concerning oh wait no,anger
dolores thin lipped smile graced glossed lip a she let blue peer over at the woman constant delight a always,joy
nigga murking in each other in murky water try to swim,sadness
i absolutely in love with laurie hernandez she so adorable and is always so cheerful,joy
gratitude recovery health love god conscious drive hope perseverance wealthy home kid socal recoveryfit youthful sober,sadness
blairwitchmovie love new movie blairwitch blairwitchproject horror horrormovies,fear
i still laughing bitch took my pillow line kurt,joy
verizonsupport thanks for saying my wife and were getting our iphones today and then losing both of them with no eta thanks,anger
let refuse to live in fear t,fear
tone of my favourite chris pine stans love tone more than anything mt sweet summer child will attack anyone who hurt her,sadness
downeysduckling nick fury,anger
somehow of the sausage in this pasta made sunk to the bottom so m eating sausage with tiny bit of leftover pasta,sadness
coltonflurry strangefacesla cancelled by cbs all access live feed before jc even said vic won afp paul should have won imo bitter,anger
why puerto rican with taino hair and black nose gotta ruffle your targeted feather,anger
devrajasmine if you change the dark image both look different but both look like they are in forest,sadness
happy birthday brooke_ cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,joy
there a specific joyous song title engiybhekayo yasezayoni need it for le mood,joy
sting is just too damn earnest for early morning listening sting,anger
a photographer this portrait shooting mode on the iphone plus is going to frustrate me of the time but delight of the time,joy
harry_styles nheart so pure and smile nso bright love you nmore than the number nof star at night nkindly follow me please nharry,joy
u you need to band together not apart nevertrump he promotes hatred and fuel fear,fear
side chick be trying to fuck like your going to forget about your wife when your done terrible,fear
robertwesley m mad that my brother is sad feel better bub,sadness
wahrbear marinarchy diamndsapphre there is some hilarity in someone who is literally openly anti science calling others anti science,joy
it better to be wetter than it is to be dry jesus christ val don be shy hen gbbo,fear
i can believe they re all messing up my favourite of all bakes feel personally offended,anger
pbhushan indianexpress so in your opinion is this the worst delhi govt acrid bitter hypocrisy,anger
i came to work for no reason ni could ve stayed in bed,sadness
pastor foot away from shooting victim during protest say he is skeptical of official story charlotteprotest charlotteriot,fear
rheafraserx took them an awfy long time to spot their goal wa disallowed pleasing,joy
stupid people piss me off busted my as and my coworker take off with all the tip thnx for nothing angry thatsmyluck,anger
fluffysoftlouis no no insist that you give me your best insult first,anger
it been week of awful connectivity with tmobile no service or only g is not what im paying for unhappy poorservice,sadness
devilsadvcate manutd absolutely boring a big manchester united fan nd it really disappointing to see them play in th dull boring way,sadness
you don know how to love me when you re sober sober selenagomez revival,sadness
removal regardless of cost lamentable answer ajvksk,sadness
istolefreehugs stephlaris lol m happy with my negative realistic as self sorry to offend you,anger
in black people are still fighting to be recognized a human being cantsleep angry,anger
i forgot bb wa on tonight that is how much the real world ha been distracting me horrid,fear
lesdoggg take me with you jk have fun relax get massage or two and chill don eat the cucumber most place frown on that,sadness
being alone is better than being lonely know what is worse than being lonely being empty that right loneliness aloneinthecity fear,fear
billie cnnbrk tell that to your body cheering on the death of black people by cop their fear is killing u,joy
skyuk what joke cut our internet off early by mistake and then don reinstate it when we no longer need an engineer,anger
freepenalties tmortimerftbl doll is vile creature on the touchline every game he ha tantrum amp shout at the ref would love to see,anger
netflix_me penny dreadful season,fear
colinoccupantz jasnabadzak proremain and there wa thinking ukip were party of angry old men how wrong can you be,anger
npagliaro that awesome s ok what are the odds of that swapping neighborhood,joy
when anger rise think of the consequence quote wisdom anger,anger
treat joy and laughter a form of worship and spiritual warfare live victory worship,joy
rvagamebreak gahsbasketball gajagsfootball ngo jag think we have good shot of beating deep run tomorrow,anger
cpt_srogers_ well it can go one of two way you either get over it and accept it because it not going to change or you mope about,sadness
theresa_talbot fleurrbie haha sorry about the dreadful pun need to get out more ve been cooped up lately,fear
mikebairdmp andrewconstance nswtaxi how many sex case need before guy learn uber is shocking to the consumer unregulated,fear
hannah_ hannah stop being mournful and chill,sadness
somebody who ha braved the storm is brewing cheerful,joy
omg actually thought she wa going to jump bully southpark southpark,fear
candice pout get more preposterous by the week this week it gone bit jack nicholson joker gbbo,anger
thenicebot indymn thought the holiday could not get any more cheerful and then met you thenicebot الخفجي,joy
forgot to bring extra boxer to the so im currently commando at starbucks this is exhilarating feel more liberated than angelina jolie,joy
now it time to remove cb from the team somehow screw it rip the band aid off it ll sting for bit but everyone will get over it,anger
what to wear friday nspeaking in front of,fear
grahnort wonderful experience watching you yesterday at bbcletitshine thankyou for the laughter,joy
live simply dream big be grateful give love laugh lot unknown quote inspiration,joy
patthemanager how could work with chancetherapper serious,sadness
it not that the man did not know how to juggle he just didn have the ball to do it funny pun lol hilarious punny,joy
okay deepbreathes we can do this sydneyswans cheer cheer amp see you on the other side peep aflcatsswans proudlysydney,joy
williamcontrol just preordered the pale ep would have paid for the phone call but would have freaked out and not said anything shy,fear
delta correction ppl checked in standing at the gate amp flt took off without u furious,anger
cross party group on crofting meeting tonight in scotparl suspect it going to be lively meeting,joy
scmciafiin don you know how nervous wa to see you,fear
first college math test tomorrow,fear
ok scrubbed hand time before trying to put them in neyeballs burning evenmoreblind accidentally scared the cat whilst screeching,anger
but got to see her last when she wa lively and talkative and wa able to tell her loved her so that what matter,joy
urclassless think that yawning actor died of drug overdose glee,joy
i love the word fret so much and im in heaven,anger
jamierjn she all over the political map in her relentless pursuit of power,anger
my bf drove out of his way after long day just to spend min holding me to make me feel better how i get so lucky lucky,joy
tootingcommon stop don make me laugh when m being sad,sadness
saga when all of your device and teles fail just in time for bake off panic gbbo,fear
hotpointuk customer service beyond appalling faulty dryer replacement break within wks no part for wks engineer no show fuming,anger
just rough situation all around for schalke and werder bremen to start the campaign bremen dashed late with new manager both with,sadness
what great training course lot of photo fun and laughter photo will be up soon boostercourse fun laughter,joy
just got back from seeing garydelaney in burslem amazing face still hurt from laughing so much,joy
huh perhaps because we re both so dreary we get along well,sadness
this is joke somersetccc,anger
parentsofaddicts let wellness be your revenge al anon speaker,anger
minute with an incense and all get is rattatas pokemongo,anger
ff manihaaamir adrence keep on smiling,joy
if could turn anxiety off would nooneunderstands,fear
i am always ready to smile,joy
awe produce gratitude gratitude instills joy amp the harvest of joy is contentment n paultripp awe,fear
